Path,CarProfile,Velocity,Translation,Rotation,Head_Z_Acceleration_abs_max,Head_X_Acceleration_abs_max,Head_Y_Acceleration_abs_max,Max_Z_Acceleration,Min_Z_Acceleration,Max_Z_Acceleration_Index,Min_Z_Acceleration_Index
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=0_rot=120_pos=initial.txt,SUV,20,0,120,102.227,153.515,49.333,102.227,-11.383,91,276
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=0_rot=150_pos=initial.txt,SUV,20,0,150,41.65,16.751,24.638,41.65,-4.086,62,229
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=0_rot=180_pos=initial.txt,SUV,20,0,180,58.635,16.925,23.386,58.635,-6.901,52,28
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=0_rot=210_pos=initial.txt,SUV,20,0,210,41.434,90.494,30.517,41.434,-7.968,40,255
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=0_rot=240_pos=initial.txt,SUV,20,0,240,56.497,129.327,22.031,56.497,-41.361,39,83
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=0_rot=270_pos=initial.txt,SUV,20,0,270,190.898,201.622,9.758,190.898,-102.034,46,75
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=0_rot=300_pos=initial.txt,SUV,20,0,300,57.224,140.689,13.638,57.224,-49.307,35,84
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=0_rot=30_pos=initial.txt,SUV,20,0,30,37.723,19.92,37.29,37.723,-11.008,65,32
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=0_rot=330_pos=initial.txt,SUV,20,0,330,35.559,110.709,28.175,35.559,-14.402,41,116
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=0_rot=60_pos=initial.txt,SUV,20,0,60,87.842,167.521,67.028,87.842,-8.41,92,28
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=0_rot=90_pos=initial.txt,SUV,20,0,90,123.736,243.715,8.355,123.736,-27.108,85,106
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=200_rot=0_pos=initial.txt,SUV,20,200,0,66.36,40.563,42.52,66.36,-9.214,53,29
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=200_rot=120_pos=initial.txt,SUV,20,200,120,97.057,192.732,58.223,97.057,-10.057,92,120
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=200_rot=150_pos=initial.txt,SUV,20,200,150,45.258,14.756,13.044,45.258,-10.79,64,34
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=200_rot=180_pos=initial.txt,SUV,20,200,180,56.969,18.344,23.137,56.969,-11.459,57,29
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=200_rot=210_pos=initial.txt,SUV,20,200,210,42.313,84.092,20.298,42.313,-6.065,28,168
C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=200_rot=240_pos=initial.txt,SUV,20,200,240,47.326,114.75,33.653,47.326,-29.868,37,106
