Id,Path,CarProfile,Velocity,Translation,Rotation,GifPath,Head_Collision_XYZ_index,Head_Collision_X,Head_Collision_Y,Head_Collision_Z,Front_Height,Hood_Front_Width,Hood_Back_Width,Hood_Length,Hood_Angle,Windscreen_Length,Windscreen_Angle
80,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-400_rot=90_pos=initial.txt,FCR,20,-400,90,,111,150.958,-300.571,1032.153,770,1160,1460,1070,11.0,816,30
81,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=0_pos=initial.txt,FCR,20,0,0,,163,1032.081,33.09,996.187,770,1160,1460,1070,11.0,816,30
82,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=120_pos=initial.txt,FCR,20,0,120,,112,191.008,-36.712,1032.627,770,1160,1460,1070,11.0,816,30
83,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=150_pos=initial.txt,FCR,20,0,150,,124,354.044,-59.309,1040.01,770,1160,1460,1070,11.0,816,30
84,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=180_pos=initial.txt,FCR,20,0,180,,158,958.865,66.16,1000.494,770,1160,1460,1070,11.0,816,30
85,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=210_pos=initial.txt,FCR,20,0,210,,112,269.25,135.079,1028.975,770,1160,1460,1070,11.0,816,30
86,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=240_pos=initial.txt,FCR,20,0,240,,106,110.802,72.396,1013.288,770,1160,1460,1070,11.0,816,30
87,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=270_pos=initial.txt,FCR,20,0,270,,103,96.276,38.336,999.253,770,1160,1460,1070,11.0,816,30
88,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=300_pos=initial.txt,FCR,20,0,300,,106,111.085,5.861,1014.393,770,1160,1460,1070,11.0,816,30
89,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=30_pos=initial.txt,FCR,20,0,30,,127,365.99,171.743,1040.526,770,1160,1460,1070,11.0,816,30
90,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=330_pos=initial.txt,FCR,20,0,330,,112,258.188,-60.871,1022.568,770,1160,1460,1070,11.0,816,30
91,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=60_pos=initial.txt,FCR,20,0,60,,111,184.689,112.732,1040.701,770,1160,1460,1070,11.0,816,30
92,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=0_rot=90_pos=initial.txt,FCR,20,0,90,,106,151.721,38.555,1016.289,770,1160,1460,1070,11.0,816,30
93,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=0_pos=initial.txt,FCR,20,200,0,,160,1000.991,273.647,985.531,770,1160,1460,1070,11.0,816,30
94,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=120_pos=initial.txt,FCR,20,200,120,,111,179.495,161.646,1039.393,770,1160,1460,1070,11.0,816,30
95,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=150_pos=initial.txt,FCR,20,200,150,,123,362.462,142.582,1031.167,770,1160,1460,1070,11.0,816,30
96,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=180_pos=initial.txt,FCR,20,200,180,,141,725.311,318.184,998.624,770,1160,1460,1070,11.0,816,30
97,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=210_pos=initial.txt,FCR,20,200,210,,116,254.407,336.589,1031.213,770,1160,1460,1070,11.0,816,30
98,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=240_pos=initial.txt,FCR,20,200,240,,106,192.733,306.623,964.002,770,1160,1460,1070,11.0,816,30
99,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=270_pos=initial.txt,FCR,20,200,270,,103,182.227,174.348,948.274,770,1160,1460,1070,11.0,816,30
100,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=300_pos=initial.txt,FCR,20,200,300,,107,111.431,183.263,1012.777,770,1160,1460,1070,11.0,816,30
101,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=30_pos=initial.txt,FCR,20,200,30,,129,363.669,363.879,1043.636,770,1160,1460,1070,11.0,816,30
102,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=330_pos=initial.txt,FCR,20,200,330,,115,276.757,143.383,1021.427,770,1160,1460,1070,11.0,816,30
103,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=60_pos=initial.txt,FCR,20,200,60,,114,188.538,286.811,1034.965,770,1160,1460,1070,11.0,816,30
104,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=200_rot=90_pos=initial.txt,FCR,20,200,90,,108,150.278,202.646,1023.841,770,1160,1460,1070,11.0,816,30
105,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=0_pos=initial.txt,FCR,20,400,0,,152,882.051,496.197,977.122,770,1160,1460,1070,11.0,816,30
106,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=120_pos=initial.txt,FCR,20,400,120,,119,249.0,339.496,1032.309,770,1160,1460,1070,11.0,816,30
107,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=150_pos=initial.txt,FCR,20,400,150,,122,331.89,406.914,1033.148,770,1160,1460,1070,11.0,816,30
108,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=180_pos=initial.txt,FCR,20,400,180,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=FCR_Vel=20_tra=400_rot=180_pos=initial.metadb.gif,158,797.761,583.819,1004.925,770,1160,1460,1070,11.0,816,30
109,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=210_pos=initial.txt,FCR,20,400,210,,120,215.407,481.707,1035.615,770,1160,1460,1070,11.0,816,30
110,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=240_pos=initial.txt,FCR,20,400,240,,114,88.662,419.999,1003.134,770,1160,1460,1070,11.0,816,30
111,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=270_pos=initial.txt,FCR,20,400,270,,113,117.549,330.349,994.682,770,1160,1460,1070,11.0,816,30
112,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=300_pos=initial.txt,FCR,20,400,300,,116,324.781,259.696,951.832,770,1160,1460,1070,11.0,816,30
113,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=30_pos=initial.txt,FCR,20,400,30,,137,366.438,565.618,1023.925,770,1160,1460,1070,11.0,816,30
114,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=330_pos=initial.txt,FCR,20,400,330,,119,255.372,330.969,1027.694,770,1160,1460,1070,11.0,816,30
115,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=60_pos=initial.txt,FCR,20,400,60,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=FCR_Vel=20_tra=400_rot=60_pos=initial.metadb.gif,118,161.499,453.651,1043.052,770,1160,1460,1070,11.0,816,30
